Model,Params,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",19987555.5296707,0.604162819821427,3711.8200154307206,12.198762463039433,12.198762463039433,4470.744404422008,14.961084450808501,5.24004864692688
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",20014954.57936066,0.6036202040647005,3713.9951465045965,12.205701448066804,12.205701448066804,4473.807615372018,14.971848812886918,8.69059705734253
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.7}",8499428.058189169,0.831675782929536,2403.651557978748,7.880998269638931,7.880998269638931,2915.377858561248,9.735354006290317,12.457652568817139
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",8503345.46243393,0.8315982019443293,2403.0675088212424,7.878845617070008,7.878845617070008,2916.049633053925,9.737012514135362,12.285105228424072
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",8525579.405346328,0.8311578769003973,2405.642935641945,7.886537521976322,7.886537521976322,2919.8594838358795,9.749101137762144,17.193373680114746
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.7}",2329210.3864198513,0.9538718944377953,1195.0707726889775,3.873381480580874,3.873381480580874,1526.1750838025928,5.0309680709041595,22.48643207550049
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",2343646.8511067405,0.9535859920689477,1197.2737015736632,3.8789636618616377,3.8789636618616377,1530.897400581352,5.045241828040751,25.68429183959961
Gradient Boosting,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",2348360.8872960773,0.9534926344400132,1198.6282031311391,3.8822227827016262,3.8822227827016262,1532.4362588036336,5.0478993796100475,32.083367109298706
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",2554693.288469214,0.949406390089692,1165.7542997927856,3.6726580939010636,3.6726580939010636,1598.3407923434895,5.095506991266097,2.856560230255127
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",2557626.835878032,0.9493482935839685,1166.1322208163608,3.6696022748773642,3.6696022748773642,1599.2582142599836,5.09697851652963,3.277068853378296
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",2566840.6769361217,0.9491658210020846,1163.1594581081567,3.660470152353109,3.660470152353109,1602.1362853815283,5.108552000078391,3.906827211380005
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",1901665.0640803995,0.9623390796592277,977.3022432603622,3.0961880201193344,3.0961880201193344,1379.0087251647103,4.4299328142853645,5.650537490844727
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1911985.761814815,0.9621346866866803,975.3298343688691,3.0904953782078186,3.0904953782078186,1382.745732886135,4.433593950302975,6.379178524017334
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",1941402.6092647354,0.9615521100966098,982.8590840549546,3.1138784874295817,3.1138784874295817,1393.3422441255182,4.48035917554953,5.867466688156128
