time,weekday,uid,last
2022-03-03T11:00:00Z,Thursday,MLU00390001,41.9
2022-03-03T11:15:00Z,Thursday,MLU00390001,40.1
2022-03-03T11:30:00Z,Thursday,MLU00390001,40.0
2022-03-03T11:45:00Z,Thursday,MLU00390001,46.5
2022-03-03T12:00:00Z,Thursday,MLU00390001,40.1
2022-03-03T12:15:00Z,Thursday,MLU00390001,39.1
2022-03-03T12:30:00Z,Thursday,MLU00390001,43.1
2022-03-03T12:45:00Z,Thursday,MLU00390001,33.2
2022-03-03T13:00:00Z,Thursday,MLU00390001,30.9
2022-03-03T13:15:00Z,Thursday,MLU00390001,35.8
2022-03-03T13:30:00Z,Thursday,MLU00390001,31.3
2022-03-03T13:45:00Z,Thursday,MLU00390001,33.4
2022-03-03T14:00:00Z,Thursday,MLU00390001,29.0
2022-03-03T14:15:00Z,Thursday,MLU00390001,26.1
2022-03-03T14:30:00Z,Thursday,MLU00390001,28.7
2022-03-03T14:45:00Z,Thursday,MLU00390001,22.9
2022-03-03T15:00:00Z,Thursday,MLU00390001,21.7
2022-03-03T15:15:00Z,Thursday,MLU00390001,32.3
2022-03-03T15:30:00Z,Thursday,MLU00390001,33.8
2022-03-03T15:45:00Z,Thursday,MLU00390001,31.3
2022-03-03T16:00:00Z,Thursday,MLU00390001,37.2
2022-03-03T16:15:00Z,Thursday,MLU00390001,40.1
2022-03-03T16:30:00Z,Thursday,MLU00390001,33.9
2022-03-03T16:45:00Z,Thursday,MLU00390001,36.3
2022-03-03T17:00:00Z,Thursday,MLU00390001,34.4
2022-03-03T17:15:00Z,Thursday,MLU00390001,31.0
2022-03-03T17:30:00Z,Thursday,MLU00390001,42.0
2022-03-03T17:45:00Z,Thursday,MLU00390001,39.6
2022-03-03T18:00:00Z,Thursday,MLU00390001,38.2
2022-03-03T18:15:00Z,Thursday,MLU00390001,37.4
2022-03-03T18:30:00Z,Thursday,MLU00390001,31.8
2022-03-03T18:45:00Z,Thursday,MLU00390001,41.1
2022-03-03T19:00:00Z,Thursday,MLU00390001,38.6
2022-03-03T19:15:00Z,Thursday,MLU00390001,31.8
2022-03-03T19:30:00Z,Thursday,MLU00390001,27.7
2022-03-03T19:45:00Z,Thursday,MLU00390001,28.8
2022-03-03T20:00:00Z,Thursday,MLU00390001,30.2
2022-03-03T20:15:00Z,Thursday,MLU00390001,34.9
2022-03-03T20:30:00Z,Thursday,MLU00390001,24.5
2022-03-03T20:45:00Z,Thursday,MLU00390001,22.7
2022-03-03T21:00:00Z,Thursday,MLU00390001,23.8
2022-03-03T21:15:00Z,Thursday,MLU00390001,8.9
2022-03-03T21:30:00Z,Thursday,MLU00390001,7.9
2022-03-03T21:45:00Z,Thursday,MLU00390001,5.4
2022-03-03T22:00:00Z,Thursday,MLU00390001,4.4
2022-03-03T22:15:00Z,Thursday,MLU00390001,4.2
2022-03-03T22:30:00Z,Thursday,MLU00390001,4.3
2022-03-03T22:45:00Z,Thursday,MLU00390001,4.4
2022-03-03T23:00:00Z,Thursday,MLU00390001,4.9
2022-03-03T23:15:00Z,Thursday,MLU00390001,5.2
2022-03-03T23:30:00Z,Thursday,MLU00390001,5.2
2022-03-03T23:45:00Z,Thursday,MLU00390001,5.2
2022-03-04T00:00:00Z,Friday,MLU00390001,5.1
2022-03-04T00:15:00Z,Friday,MLU00390001,5.1
2022-03-04T00:30:00Z,Friday,MLU00390001,5.2
2022-03-04T00:45:00Z,Friday,MLU00390001,5.0
2022-03-04T01:00:00Z,Friday,MLU00390001,5.0
2022-03-04T01:15:00Z,Friday,MLU00390001,4.8
2022-03-04T01:30:00Z,Friday,MLU00390001,4.7
2022-03-04T01:45:00Z,Friday,MLU00390001,4.6
2022-03-04T02:00:00Z,Friday,MLU00390001,5.5
2022-03-04T02:15:00Z,Friday,MLU00390001,5.5
2022-03-04T02:30:00Z,Friday,MLU00390001,5.0
2022-03-04T02:45:00Z,Friday,MLU00390001,4.7
2022-03-04T03:00:00Z,Friday,MLU00390001,5.2
2022-03-04T03:15:00Z,Friday,MLU00390001,4.6
2022-03-04T03:30:00Z,Friday,MLU00390001,4.6
2022-03-04T03:45:00Z,Friday,MLU00390001,4.5
2022-03-04T04:00:00Z,Friday,MLU00390001,4.6
2022-03-04T04:15:00Z,Friday,MLU00390001,4.6
2022-03-04T04:30:00Z,Friday,MLU00390001,5.7
2022-03-04T04:45:00Z,Friday,MLU00390001,6.2
2022-03-04T05:00:00Z,Friday,MLU00390001,6.1
2022-03-04T05:15:00Z,Friday,MLU00390001,6.2
2022-03-04T05:30:00Z,Friday,MLU00390001,6.1
2022-03-04T05:45:00Z,Friday,MLU00390001,7.5
2022-03-04T06:00:00Z,Friday,MLU00390001,8.9
2022-03-04T06:15:00Z,Friday,MLU00390001,9.9
2022-03-04T06:30:00Z,Friday,MLU00390001,10.0
2022-03-04T06:45:00Z,Friday,MLU00390001,9.9
2022-03-04T07:00:00Z,Friday,MLU00390001,9.7
2022-03-04T07:15:00Z,Friday,MLU00390001,9.8
2022-03-04T07:30:00Z,Friday,MLU00390001,10.0
2022-03-04T07:45:00Z,Friday,MLU00390001,10.7
2022-03-04T08:00:00Z,Friday,MLU00390001,12.8
