units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
64,32,0.2,False,True,20,16,183769.21456243336,0.9964011631823895,319.2083287059458,0.9776669376193934,0.9776669376193934,428.6831167219364,1.1910254555074402,1290.233668088913
64,32,0.2,False,False,20,16,145943.38680495825,0.9971419237168149,281.84415349799593,0.9044523796956824,0.9044523796956824,382.0253745564007,1.1061352463941976,1251.3748853206635
64,32,0.2,True,True,20,32,284345.49313512933,0.9944315317881023,410.425967498971,1.2640591539807753,1.2640591539807753,533.2405584116134,1.2787953581531541,669.3936448097229
64,32,0.2,True,False,20,32,183473.79498231487,0.9964069485195262,316.0406394970929,0.9803240014643996,0.9803240014643996,428.33841175210387,1.2693152236227823,662.9209427833557
64,32,0.2,False,True,20,32,141937.65077277232,0.9972203698828312,278.99988003480087,0.8769239797958798,0.8769239797958798,376.7461357104706,1.067466277185726,646.2853865623474
64,32,0.2,False,False,20,32,152795.18540849158,0.9970077418020694,284.3103620905112,0.9039461403888919,0.9039461403888919,390.890247267045,1.2587396264601747,629.8698072433472
64,32,0.2,True,True,20,64,152832.51555683074,0.9970070107486524,276.42421328675914,0.8815741112665022,0.8815741112665022,390.93799451681684,1.2636089152216579,344.9571828842163
64,32,0.2,True,False,20,64,178845.8096929575,0.9964975804781507,302.800034475894,0.9548916588228422,0.9548916588228422,422.9016548713867,1.3466722845680432,342.1041421890259
64,32,0.2,False,True,20,64,184109.40380993902,0.9963945011003221,323.72568983480664,1.0100698811828417,1.0100698811828417,429.07971731362346,1.1715775720427508,339.72700119018555
64,32,0.2,False,False,20,64,326365.73703559954,0.9936086300785093,422.8964447630958,1.3168752678799693,1.3168752678799693,571.2842874047907,1.6301795408020543,327.87339973449707
64,32,0.2,True,True,50,16,1444165.9430095686,0.9717182359470973,851.0972866010097,2.2821907869919342,2.2821907869919342,1201.7345559688165,2.3794392712195025,3390.1709620952606
64,32,0.2,True,False,50,16,100245.41704925927,0.9980368480186814,222.7672942751804,0.7104312299654656,0.7104312299654656,316.6155666565674,1.0222605984073296,3380.2472524642944
64,32,0.2,False,True,50,16,115495.26893888225,0.9977382031745264,247.05005712323057,0.8046183733271974,0.8046183733271974,339.84594883400075,1.065981261387114,3333.2598135471344
64,32,0.2,False,False,50,16,133375.39124820885,0.9973880485383247,268.72414782973027,0.8433082827417514,0.8433082827417514,365.2059573010945,1.071940607064488,3295.51043343544
64,32,0.2,True,True,50,32,134541.68517469533,0.9973652084694221,267.1229936439137,0.8494785686843153,0.8494785686843153,366.79924369427937,1.0453829570754847,1743.7803421020508
64,32,0.2,True,False,50,32,137586.06572423506,0.9973055889687642,270.8479638913887,0.8686663801651907,0.8686663801651907,370.92595719932444,1.227884340814886,1648.0198290348053
